Title,Code / Notes,count,mean,std,min,25%,50%,75%,max
All Passion Spent,LL (trans to 6/3),1.0,0.84375,,0.84375,0.84375,0.84375,0.84375,0.84375
All Passion Spent,LL @ 9/4,3.0,9.658333333333333,7.571496026766001,2.85,5.58125,8.3125,13.0625,17.8125
All Passion Spent,LL @.5,1.0,5.208333333333334,,5.208333333333334,5.208333333333334,5.208333333333334,5.208333333333334,5.208333333333334
All Passion Spent,LL C. O. D.,2.0,0.390625,0.15467960838455727,0.28125,0.3359375,0.390625,0.4453125,0.5
All Passion Spent,LL CC,309.0,1.1383899676375426,1.5325826301824574,0.1625,0.2,0.65,1.4249999999999998,12.5
All Passion Spent,LL CC & post,12.0,0.7496527777777778,0.48090579758742635,0.18333333333333332,0.32708333333333334,0.8125,1.0885416666666667,1.625
All Passion Spent,LL CC post,2.0,0.20208333333333334,0.026516504294495556,0.18333333333333332,0.19270833333333331,0.20208333333333334,0.21145833333333336,0.22083333333333335
All Passion Spent,LL COD,1.0,0.28125,,0.28125,0.28125,0.28125,0.28125,0.28125
All Passion Spent,LL P,3.0,1.3125,1.7861773953054048,0.28125,0.28125,0.28125,1.828125,3.375
All Passion Spent,LL P ,2.0,0.5625,0.397747564417433,0.28125,0.421875,0.5625,0.703125,0.84375
All Passion Spent,LL PP,1.0,0.28125,,0.28125,0.28125,0.28125,0.28125,0.28125
All Passion Spent,LL cc,3.0,1.3,0.5629165124598852,0.975,0.975,0.975,1.4625,1.95
All Passion Spent,LL cob CC,1.0,0.6,,0.6,0.6,0.6,0.6,0.6
All Passion Spent,LL post,3.0,0.5,0.17320508075688773,0.3,0.44999999999999996,0.6,0.6,0.6
All Passion Spent,LL post CC,1.0,0.3625,,0.3625,0.3625,0.3625,0.3625,0.3625
All Passion Spent,LLl CC,1.0,0.1625,,0.1625,0.1625,0.1625,0.1625,0.1625
All Passion Spent,list supplied,4.0,0.875,0.7772815877574012,0.25,0.4375,0.625,1.0625,2.0
All Passion Spent Cheap Edition, ,1.0,0.11666666666666667,,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667
All Passion Spent Cheap Edition,& post,2.0,0.21875,0.09722718241315027,0.15,0.18437499999999998,0.21875,0.253125,0.2875
All Passion Spent Cheap Edition,1,1.0,0.39375,,0.39375,0.39375,0.39375,0.39375,0.39375
All Passion Spent Cheap Edition,CC,16.0,0.35442708333333334,0.745830181169627,0.10416666666666667,0.10416666666666667,0.11458333333333334,0.28437500000000004,3.125
All Passion Spent Cheap Edition,CC ,7.0,0.625,1.118033988749895,0.125,0.125,0.125,0.375,3.125
All Passion Spent Cheap Edition,LL,813.0,0.547491287412876,1.0344881191944104,0.0875,0.13125,0.23333333333333334,0.625,20.833333333333336
All Passion Spent Cheap Edition,LL & post,1.0,0.13333333333333333,,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
All Passion Spent Cheap Edition,LL 50%,1.0,2.1875,,2.1875,2.1875,2.1875,2.1875,2.1875
All Passion Spent Cheap Edition,LL @ 2/1,5.0,1.3958333333333335,1.1519721917457713,0.10416666666666667,0.625,1.0416666666666667,2.604166666666667,2.604166666666667
All Passion Spent Cheap Edition,LL @ 2/19,1.0,0.5208333333333334,,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334
All Passion Spent Cheap Edition,LL @ 2/2/,1.0,0.65,,0.65,0.65,0.65,0.65,0.65
All Passion Spent Cheap Edition,LL @ 3/3,1.0,1.4,,1.4,1.4,1.4,1.4,1.4
All Passion Spent Cheap Edition,LL CC,111.0,0.3557057057057055,0.6461321224596568,0.0,0.10416666666666667,0.20833333333333334,0.31666666666666665,5.208333333333334
All Passion Spent Cheap Edition,LL COD,1.0,0.13125,,0.13125,0.13125,0.13125,0.13125,0.13125
All Passion Spent Cheap Edition,LL NET,1.0,2.604166666666667,,2.604166666666667,2.604166666666667,2.604166666666667,2.604166666666667,2.604166666666667
All Passion Spent Cheap Edition,LL Nat.,1.0,2.604166666666667,,2.604166666666667,2.604166666666667,2.604166666666667,2.604166666666667,2.604166666666667
All Passion Spent Cheap Edition,LL Net,1.0,2.604166666666667,,2.604166666666667,2.604166666666667,2.604166666666667,2.604166666666667,2.604166666666667
All Passion Spent Cheap Edition,LL OS,1.0,0.7,,0.7,0.7,0.7,0.7,0.7
All Passion Spent Cheap Edition,LL PP,2.0,0.4666666666666667,0.3299831645537222,0.23333333333333334,0.35,0.4666666666666667,0.5833333333333333,0.7
All Passion Spent Cheap Edition,LL net,3.0,0.5333333333333333,0.1587713240271471,0.35,0.4875,0.625,0.625,0.625
All Passion Spent Cheap Edition,LL pp,1.0,0.13125,,0.13125,0.13125,0.13125,0.13125,0.13125
All Passion Spent Cheap Edition,l,2.0,0.12395833333333334,0.01031197389230382,0.11666666666666667,0.12031249999999999,0.12395833333333334,0.12760416666666669,0.13125
All Passion Spent O. S.,LL,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
All Passion Spent O. S.,LL (see 13887),1.0,1.5,,1.5,1.5,1.5,1.5,1.5
All Passion Spent On Sale,7 retd 5 pd | LL,1.0,0.11666666666666667,,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667
All Passion Spent On Sale,LL,10.0,0.15166666666666667,0.05635535401295893,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.20416666666666666,0.23333333333333334
All Passion Spent On Sale,LL (10 retd 2 chd 11/30),1.0,1.4,,1.4,1.4,1.4,1.4,1.4
All Passion Spent On Sale,LL (1pd 1 ed),1.0,0.23333333333333334,,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334
All Passion Spent On Sale,LL (see 1657),1.0,0.11666666666666667,,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667
All Passion Spent On Sale,LL CC,1.0,0.10416666666666667,,0.10416666666666667,0.10416666666666667,0.10416666666666667,0.10416666666666667,0.10416666666666667
Between the Acts,CC,283.0,0.8157022968197863,1.4488512998332121,0.1625,0.1625,0.4875,0.975,18.6875
Between the Acts,pp,1.0,0.375,,0.375,0.375,0.375,0.375,0.375
Edwardians,LL,39.0,0.6192307692307691,0.45355223142509077,0.11666666666666667,0.23333333333333334,0.35,0.7,1.75
Edwardians,LL  ,20.0,1.9708333333333339,4.973305568216556,0.23333333333333334,0.3208333333333333,0.35,0.7,20.833333333333336
Edwardians,LL CC,3.0,1.9111111111111112,2.859561001337508,0.20833333333333334,0.2604166666666667,0.3125,2.7625,5.2125
Edwardians OS., CC,2.0,0.3125,0.0,0.3125,0.3125,0.3125,0.3125,0.3125
Edwardians OS.,(see 3278),1.0,0.23333333333333334,,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334
Edwardians OS.,CC,36.0,0.3733796296296296,0.5292067643017387,0.10416666666666667,0.10416666666666667,0.12708333333333333,0.5,3.125
Edwardians OS.,CC LL,3.0,0.17361111111111113,0.06014065304058602,0.10416666666666667,0.15625,0.20833333333333334,0.20833333333333334,0.20833333333333334
Edwardians OS.,LL,679.0,0.4779485763377513,0.651156963147236,0.0,0.13125,0.23333333333333334,0.4666666666666667,5.833333333333333
Edwardians OS.,LL  ,9.0,1.7666666666666666,3.28618742280135,0.11666666666666667,0.23333333333333334,0.7,1.4,10.416666666666668
Edwardians OS.,LL & post,4.0,0.23333333333333334,0.11819436284107379,0.12083333333333333,0.14270833333333333,0.22083333333333333,0.31145833333333334,0.3708333333333333
Edwardians OS.,LL (see 3028),1.0,0.11666666666666667,,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667
Edwardians OS.,LL (see 3136),1.0,1.4,,1.4,1.4,1.4,1.4,1.4
Edwardians OS.,LL (see 3357),1.0,0.23333333333333334,,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334
Edwardians OS.,LL 1 pd 5 pe,1.0,0.7,,0.7,0.7,0.7,0.7,0.7
Edwardians OS.,LL 10 Rt 2 ep,1.0,1.4,,1.4,1.4,1.4,1.4,1.4
Edwardians OS.,LL 3 supplied 10/17,1.0,0.6,,0.6,0.6,0.6,0.6,0.6
Edwardians OS.,LL 50%,1.0,2.1875,,2.1875,2.1875,2.1875,2.1875,2.1875
Edwardians OS.,LL @.5,3.0,0.6597222222222222,0.5737052653423023,0.10416666666666667,0.3645833333333333,0.625,0.9375,1.25
Edwardians OS.,LL CC,81.0,0.2888631687242799,0.2584053915996148,0.10416666666666667,0.10416666666666667,0.20833333333333334,0.4166666666666667,1.875
Edwardians OS.,LL CC  ,2.0,1.4583333333333335,1.6204530402191717,0.3125,0.8854166666666667,1.4583333333333335,2.03125,2.604166666666667
Edwardians OS.,LL CC & post,7.0,0.2696428571428572,0.08883616988234622,0.12083333333333333,0.23333333333333334,0.23750000000000002,0.35,0.3625
Edwardians OS.,LL COD,1.0,0.11666666666666667,,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667
Edwardians OS.,LL O. S.,3.0,0.35000000000000003,0.30867098629086887,0.11666666666666667,0.175,0.23333333333333334,0.4666666666666667,0.7
Edwardians OS.,LL OS,1.0,0.11666666666666667,,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667
Edwardians OS.,LL PP,2.0,0.13125,0.0,0.13125,0.13125,0.13125,0.13125,0.13125
Edwardians OS.,LL net,2.0,0.9375,0.4419417382415922,0.625,0.78125,0.9375,1.09375,1.25
Edwardians OS.,fr O. S.,2.0,0.6416666666666666,0.7424621202458748,0.11666666666666667,0.37916666666666665,0.6416666666666666,0.9041666666666666,1.1666666666666665
Edwardians OS.,from O. S.,1.0,0.23333333333333334,,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334
Edwardians OS.,l,1.0,0.2625,,0.2625,0.2625,0.2625,0.2625,0.2625
Family History,CC,54.0,0.20162037037037017,0.10905485616280662,0.1625,0.1625,0.1625,0.1625,0.8125
Family History,LL,573.0,2.662772687609069,15.474196791961242,0.0,0.25,0.5,1.25,225.0
Family History,LL ,13.0,0.4,0.21548153439834852,0.1625,0.25,0.28125,0.5625,0.84375
Family History,LL  ,3.0,0.19166666666666665,0.05051814855409225,0.1625,0.1625,0.1625,0.20625,0.25
Family History,LL  CC,1.0,0.1625,,0.1625,0.1625,0.1625,0.1625,0.1625
Family History,LL & post,7.0,0.6428571428571429,0.46180950887435446,0.2833333333333333,0.32916666666666666,0.5541666666666667,0.7020833333333334,1.6
Family History,LL & post CC,1.0,0.18333333333333332,,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.18333333333333332
Family History,LL 1/5,3.0,5.225694444444445,8.110593085388963,0.21875,0.546875,0.875,7.729166666666667,14.583333333333334
Family History,LL 1/6,3.0,0.525,0.343693177121688,0.225,0.3375,0.45,0.675,0.9
Family History,LL 1/7,1.0,3.0083333333333333,,3.0083333333333333,3.0083333333333333,3.0083333333333333,3.0083333333333333,3.0083333333333333
Family History,LL 2 1/5,1.0,0.875,,0.875,0.875,0.875,0.875,0.875
Family History,LL 2 1/6,4.0,0.84375,0.5316542579534185,0.45,0.45,0.675,1.06875,1.575
Family History,LL @ 1/5,2.0,0.7291666666666666,0.41247895569215265,0.4375,0.5833333333333333,0.7291666666666666,0.875,1.0208333333333333
Family History,LL @ 4/9,1.0,4.75,,4.75,4.75,4.75,4.75,4.75
Family History,LL CC,144.0,1.0328993055555535,1.9977900765750336,0.08333333333333334,0.1625,0.325,0.975,12.1875
